GENE,REFSEQ_ID,UNIPROT_ID,AVE_SC,NUM_EXPT,CC405,CC406,CC410
PBDC1,NP_057584;XP_005262331,PBDC1_HUMAN,2.5,2,0,4,1
PBK,NP_001265874;NP_060962,TOPK_HUMAN,2,2,0,3,1
PC,NP_000911;NP_001035806,PYC_HUMAN,189.67,3,214,162,193
PCBP1,NP_006187;XP_005264398,PCBP1_HUMAN,2,1,2,0,0
PCBP2,NP_001092090;NP_001122383,PCBP2_HUMAN,1,2,1,1,0
PCBP3,NP_001123613;NP_065389,PCBP3_HUMAN,1,1,1,0,0
PCCA,NP_000273;NP_001121164,PCCA_HUMAN,21,3,21,20,22
PCCB,NP_000523;NP_001171485,PCCB_HUMAN,12,3,16,8,12
PCID2,NP_001120674;NP_001120675,PCID2_HUMAN,1,2,1,1,0
PCMT1,NP_001238978;NP_001238979,PIMT_HUMAN,1,1,1,0,0
PCNA,NP_002583;NP_872590,PCNA_HUMAN,2,2,3,1,0
PDCD6,NP_001254485;NP_001254487,PDCD6_HUMAN,3,2,0,5,1
PDCD6IP,NP_001155901;NP_037506,PDC6I_HUMAN,1,2,0,1,1
PDE2A,NP_001137311;NP_001139681,PDE2A_HUMAN,1,1,0,1,0
PDE4D,NP_001098101;NP_001159371,PDE4D_HUMAN,1,1,0,0,1
PDIA3,NP_005304;XP_005254379,PDIA3_HUMAN,4,1,4,0,0
PDIA6,NP_001269633;NP_001269634,PDIA6_HUMAN,1,3,1,1,1
PES1,NP_001230154;NP_001269256,PESC_HUMAN,12.67,3,5,17,16
PGAM5,NP_001164014;NP_001164015,PGAM5_HUMAN,1,1,1,0,0
PGD,NP_002622;XP_005263528,6PGD_HUMAN,2,1,2,0,0
PGK1,NP_000282;XP_005262200,PGK1_HUMAN,3.5,2,5,0,2
PGK2,NP_620061,PGK2_HUMAN,1,1,1,0,0
PHB2,NP_001138303;NP_001254629,PHB2_HUMAN,1,1,1,0,0
PHGDH,NP_006614,SERA_HUMAN,2,3,4,1,1
PHIP,NP_060404;XP_005248786,PHIP_HUMAN,7,2,0,8,6
PIGR,NP_002635;XP_005273220,PIGR_HUMAN,4,1,4,0,0
PIP,NP_002643,PIP_HUMAN,2,3,1,1,4
PKD1,NP_000287;NP_001009944,PKD1_HUMAN,1,1,0,1,0
PKM,NP_001193725;NP_001193727,KPYM_HUMAN,23,1,23,0,0
PLCD3,NP_588614,PLCD3_HUMAN,1,1,0,1,0
PLCXD1,NP_060860,PLCX1_HUMAN,1,1,1,0,0
PLEC,NP_000436;NP_958780,PLEC_HUMAN,8,1,8,0,0
PLK1,NP_005021,PLK1_HUMAN,3,1,0,3,0
PNN,NP_002678;XP_005267825,PININ_HUMAN,3,1,3,0,0
POF1B,NP_079197;XP_005262259,POF1B_HUMAN,3,1,0,3,0
POLDIP2,NP_056399,--,1,2,0,1,1
POLK,NP_057302;XP_005248591,POLK_HUMAN,1,1,0,0,1
POLR2A,NP_000928,RPB1_HUMAN,1,1,0,1,0
POLR2B,NP_000929;XP_005265802,RPB2_HUMAN,5,3,3,4,8
POLR2C,NP_116558,RPB3_HUMAN,1,1,1,0,0
POLR2D,NP_004796;XP_005263749,RPB4_HUMAN,1,1,0,1,0
POLR2E,NP_002686;XP_005259635,RPAB1_HUMAN,2,1,0,0,2
POLR2G,NP_002687,RPB7_HUMAN,1,1,0,1,0
POLR2M,NP_001018112;NP_056347,GRL1A_HUMAN,1,1,0,0,1
POP1,NP_001139332;NP_001139333,POP1_HUMAN,2,1,0,2,0
POTEE,NP_001077007;XP_005263728,POTEE_HUMAN,9.33,3,18,4,6
POTEF,NP_001093241;XP_005263806,POTEF_HUMAN,9.33,3,18,4,6
PPIA,NP_066953;XP_003960166,PPIA_HUMAN,2.5,2,3,2,0
PPIAL4A,NP_839944;XP_003846538,PAL4A_HUMAN,1,1,1,0,0
PPIAL4B,NP_001137355;XP_003846538,PAL4A_HUMAN,1,1,1,0,0
PPIAL4C,NP_001129261;XP_003846538,PAL4A_HUMAN,1,1,1,0,0
PPIB,NP_000933,PPIB_HUMAN,3.67,3,4,6,1
PPIE,NP_001181936;NP_006103,PPIE_HUMAN,1,1,0,1,0
PPIL3,NP_115861;NP_570981,PPIL3_HUMAN,1,1,0,1,0
PPM1D,NP_003611;XP_005257799,PPM1D_HUMAN,2,1,2,0,0
PPP1CA,NP_001008709;NP_002699,PP1A_HUMAN,1,1,0,1,0
PPP2CA,NP_002706,PP2AA_HUMAN,1,3,1,1,1
PPP2CB,NP_001009552,PP2AB_HUMAN,1,3,1,1,1
PPP2R1A,NP_055040,2AAA_HUMAN,1,2,0,1,1
PPP2R1B,NP_001171033;NP_001171034,2AAB_HUMAN,1,1,0,0,1
PPP2R2A,NP_001171062;NP_002708,2ABA_HUMAN,1,2,0,1,1
PPP2R5C,NP_001155197;NP_001155198,2A5G_HUMAN,1,1,0,0,1
PPP6C,NP_001116827;NP_001116841,PPP6_HUMAN,1,1,0,1,0
PRAF2,NP_009144,PRAF2_HUMAN,1,1,0,1,0
PRDX1,NP_001189360;NP_002565,PRDX1_HUMAN,10,3,9,18,3
PRDX2,NP_005800;NP_859428,PRDX2_HUMAN,27.5,2,1,54,0
PRDX3,NP_006784;NP_054817,PRDX3_HUMAN,2,1,2,0,0
PRDX4,NP_006397;XP_005274495,PRDX4_HUMAN,1.67,3,1,2,2
PRDX6,NP_004896,PRDX6_HUMAN,1,2,1,1,0
PRKACA,NP_002721;NP_997401,KAPCA_HUMAN,1,1,0,1,0
PRKACB,NP_001229786;NP_001229787,KAPCB_HUMAN,1,1,0,1,0
PRKACG,NP_002723;XP_005252150,KAPCG_HUMAN,1,1,0,1,0
PRMT1,NP_001527;NP_938074,ANM1_HUMAN,1,1,1,0,0
PRPF6,NP_036601;XP_005260258,PRP6_HUMAN,2,3,4,1,1
PRPF8,NP_006436,PRP8_HUMAN,1,2,0,1,1
PRPH,NP_006253;XP_005269082,PERI_HUMAN,4.67,3,6,3,5
PRRC1,NP_570721;XP_005271935,PRRC1_HUMAN,1,1,0,1,0
PRSS1,NP_002760;XP_005277049,TRY1_HUMAN,1,1,0,0,1
PSMA4,NP_001096137;NP_001096138,PSA4_HUMAN,1,2,0,1,1
PSMA5,NP_001186701;NP_001186702,PSA5_HUMAN,1,1,0,0,1
PSMA7,NP_002783,PSA7_HUMAN,1,1,0,0,1
PSMA8,NP_001020267;NP_001020268,PSA7L_HUMAN,1,1,0,0,1
PSMC3,NP_002795;XP_005253078,PRS6A_HUMAN,1,2,0,1,1
PSMD13,NP_002808;NP_787128,PSD13_HUMAN,1,1,0,1,0
PSMD2,NP_001265637;NP_001265638,PSMD2_HUMAN,3.67,3,3,5,3
PSMD3,NP_002800,PSMD3_HUMAN,2,1,2,0,0
PSMD8,NP_002803,PSMD8_HUMAN,1,1,0,1,0
PTBP1,NP_002810;NP_114367,PTBP1_HUMAN,2,1,2,0,0
PTMS,NP_002815;XP_005253775,PTMS_HUMAN,1,1,1,0,0
PTPLAD1,NP_057479;XP_005254496,HACD3_HUMAN,1,2,1,1,0
PUF60,NP_001129505;NP_001258025,PUF60_HUMAN,1,1,1,0,0
PURA,NP_005850,PURA_HUMAN,1,1,0,1,0
PWP1,NP_008993,PWP1_HUMAN,1,3,1,1,1
PWP2,NP_005040,PWP2_HUMAN,1,1,0,1,0
PYCRL,NP_075566;XP_005251086,P5CR3_HUMAN,1,1,0,0,1
QARS,NP_001259002;NP_005042,SYQ_HUMAN,9,3,2,15,10
RAB32,NP_006825,RAB32_HUMAN,1,2,0,1,1
RABL3,NP_776186,RABL3_HUMAN,3,1,0,0,3
RAD51B,NP_002868;NP_598193,RA51B_HUMAN,1,1,1,0,0
RAF1,NP_002871;XP_005265412,RAF1_HUMAN,1,1,0,0,1
RALGAPA2,NP_065076;XP_005260825,RGPA2_HUMAN,1,1,0,1,0
RALY,NP_031393;NP_057951,RALY_HUMAN,4.67,3,5,7,2
RAN,NP_006316;XP_005253649,RAN_HUMAN,2,2,2,0,2
RANBP1,NP_001265568;NP_001265569,RANG_HUMAN,1,1,1,0,0
RARS,NP_002878;XP_005266013,SYRC_HUMAN,2.33,3,3,1,3
RBBP4,NP_001128727;NP_001128728,RBBP4_HUMAN,3,3,1,4,4
RBBP7,NP_001185648;NP_002884,RBBP7_HUMAN,2.33,3,1,4,2
RBFOX1,NP_001135805;NP_001135806,RFOX1_HUMAN,1,1,0,1,0
RBFOX2,NP_001026865;NP_001076045,RFOX2_HUMAN,1,1,0,1,0
RBM25,NP_067062;XP_005268012,RBM25_HUMAN,8,1,8,0,0
RBM34,NP_001155005;NP_055829,RBM34_HUMAN,1,1,1,0,0
RBM39,NP_001229528;NP_001229529,RBM39_HUMAN,1,3,1,1,1
RBMX,NP_001158275;NP_002130,RBMX_HUMAN,2,1,2,0,0
RBMXL1,NP_001156008;NP_062556,RMXL1_HUMAN,2,1,2,0,0
RBMXL2,NP_055284,RMXL2_HUMAN,1,1,1,0,0
RBMXL3,NP_001138818,RMXL3_HUMAN,1,1,1,0,0
RCL1,NP_005763;XP_005251394,RCL1_HUMAN,2,1,0,2,0
RCN1,NP_002892,RCN1_HUMAN,2.33,3,1,4,2
RCN2,NP_001258766;NP_002893,RCN2_HUMAN,3,2,4,0,2
RDX,NP_001247421;NP_001247422,RADI_HUMAN,1.67,3,3,1,1
RFC3,NP_002906;NP_853536,RFC3_HUMAN,1,1,1,0,0
RFC4,NP_002907;NP_853551,RFC4_HUMAN,4,1,0,4,0
RMND1,NP_001258866;NP_060379,RMND1_HUMAN,1,1,0,1,0
RNF135,NP_001171921;NP_115698,RN135_HUMAN,1,1,0,0,1
RPA1,NP_002936,RFA1_HUMAN,2.33,3,1,3,3
RPA2,NP_002937;XP_005246022,RFA2_HUMAN,1,1,0,1,0
RPAP2,NP_079089;XP_005271280,RPAP2_HUMAN,1,1,0,0,1
RPF1,NP_079341,RPF1_HUMAN,4,1,0,4,0
RPF2,NP_115570;XP_005267217,RPF2_HUMAN,5.67,3,12,3,2
RPL10,NP_001243506;NP_001243509,RL10_HUMAN,6.33,3,4,6,9
RPL10A,NP_009035;XP_005249201,RL10A_HUMAN,2,1,0,0,2
RPL10L,NP_542784,RL10L_HUMAN,3.67,3,2,3,6
RPL11,NP_000966;NP_001186731,RL11_HUMAN,6,3,6,7,5
RPL12,NP_000967;XP_005252187,RL12_HUMAN,4.33,3,1,5,7
RPL13,NP_000968;NP_001230059,RL13_HUMAN,11,3,17,11,5
RPL13A,NP_001257420;NP_036555,RL13A_HUMAN,10.67,3,18,8,6
RPL14,NP_001030168;NP_003964,RL14_HUMAN,28,3,27,33,24
RPL15,NP_001240308;NP_001240309,RL15_HUMAN,12.67,3,6,15,17
RPL17,NP_000976;NP_001030178,RL17_HUMAN,6,3,3,6,9
RPL17-C18orf32,NP_001186284;NP_001186285,RL17_HUMAN,6,3,3,6,9
RPL18,NP_000970;NP_001257419,RL18_HUMAN,18.67,3,39,10,7
RPL18A,NP_000971,RL18A_HUMAN,9.67,3,18,10,1
RPL19,NP_000972;XP_005257621,RL19_HUMAN,25,3,67,4,4
RPL21,NP_000973;XP_005266545,RL21_HUMAN,7,3,15,3,3
RPL22,NP_000974;XP_005263545,RL22_HUMAN,5,2,0,5,5
RPL23,NP_000969,RL23_HUMAN,2.5,2,0,2,3
RPL23A,NP_000975;XP_005258074,RL23A_HUMAN,22.33,3,26,30,11
RPL24,NP_000977;XP_005247754,RL24_HUMAN,12.67,3,22,9,7
RPL26,NP_000978;XP_005256806,RL26_HUMAN,14.67,3,22,17,5
RPL26L1,NP_057177;XP_005265978,RL26L_HUMAN,13,3,19,16,4
RPL27,NP_000979,RL27_HUMAN,10,3,16,10,4
RPL27A,NP_000981,RL27A_HUMAN,8.67,3,19,6,1
RPL28,NP_000982;NP_001129606,RL28_HUMAN,10,3,19,8,3
RPL29,NP_000983,RL29_HUMAN,22.67,3,65,2,1
RPL3,NP_000958;NP_001029025,RL3_HUMAN,57,3,142,17,12
RPL30,NP_000980,RL30_HUMAN,7.5,2,0,8,7
RPL31,NP_000984;NP_001092047,RL31_HUMAN,3.5,2,0,5,2
RPL32,NP_000985;NP_001007074,RL32_HUMAN,13,3,32,5,2
RPL34,NP_000986;NP_296374,RL34_HUMAN,3,2,0,3,3
RPL35,NP_009140,RL35_HUMAN,23.67,3,56,10,5
RPL35A,NP_000987;XP_005269407,RL35A_HUMAN,3,2,3,3,0
RPL36,NP_056229;NP_378669,RL36_HUMAN,5.67,3,8,6,3
RPL36A,NP_066357,RL36A_HUMAN,5.5,2,10,0,1
RPL36AL,NP_000992,RL36L_HUMAN,6.5,2,12,0,1
RPL37A,NP_000989,RL37A_HUMAN,1.33,3,2,1,1
RPL39,NP_000991,RL39_HUMAN,8,1,8,0,0
RPL3L,NP_005052,RL3L_HUMAN,5.5,2,10,1,0
RPL4,NP_000959;XP_005254643,RL4_HUMAN,36.33,3,69,17,23
RPL5,NP_000960;XP_005271154,RL5_HUMAN,18.67,3,20,24,12
RPL6,NP_000961;NP_001019833,RL6_HUMAN,92.67,3,249,21,8
RPL7,NP_000962,RL7_HUMAN,41.33,3,66,28,30
RPL7A,NP_000963,RL7A_HUMAN,32.67,3,35,36,27
RPL7L1,NP_940888;XP_005249083,RL7L_HUMAN,6.5,2,0,9,4
RPL8,NP_000964;NP_150644,RL8_HUMAN,11,3,10,11,12
RPL9,NP_000652;NP_001020092,RL9_HUMAN,3,3,1,3,5
RPLP0,NP_000993;NP_444505,RLA0_HUMAN,6.33,3,3,9,7
RPLP1,NP_000994;NP_998890,RLA1_HUMAN,1,1,0,0,1
RPLP2,NP_000995;XP_005253114,RLA2_HUMAN,4,2,0,3,5
RPN1,NP_002941,RPN1_HUMAN,8,3,6,7,11
RPN2,NP_001129243;NP_002942,RPN2_HUMAN,1.67,3,1,3,1
RPS10,NP_001005;NP_001190174,RS10_HUMAN,1,1,0,1,0
RPS11,NP_001006,RS11_HUMAN,6.67,3,9,8,3
RPS12,NP_001007;XP_005267150,RS12_HUMAN,3,1,0,3,0
RPS13,NP_001008,RS13_HUMAN,5.33,3,4,9,3
RPS14,NP_001020241;NP_001020242,RS14_HUMAN,2.33,3,2,4,1
RPS15,NP_001009;XP_005259670,RS15_HUMAN,4.5,2,6,3,0
RPS15A,NP_001010;NP_001025180,RS15A_HUMAN,3.5,2,0,4,3
RPS16,NP_001011;XP_005259194,RS16_HUMAN,4,2,0,4,4
RPS17,NP_001012;XP_005272474,RS17_HUMAN,3,1,0,3,0
RPS17L,NP_001185986;XP_005272474,RS17L_HUMAN,3,1,0,3,0
RPS18,NP_072045,RS18_HUMAN,7.67,3,4,15,4
RPS19,NP_001013;XP_005259198,RS19_HUMAN,2,1,0,2,0
RPS2,NP_002943;XP_005255521,RS2_HUMAN,8,3,7,12,5
RPS20,NP_001014;NP_001139699,RS20_HUMAN,2.5,2,0,3,2
RPS23,NP_001016,RS23_HUMAN,7.67,3,13,8,2
RPS24,NP_001017;NP_001135754,RS24_HUMAN,8.33,3,17,6,2
RPS25,NP_001019,RS25_HUMAN,2.5,2,1,4,0
RPS26,NP_001020;XP_003846586,RS26_HUMAN,3,3,2,4,3
RPS27,NP_001021,RS27_HUMAN,1,2,0,1,1
RPS27A,NP_001129064;NP_001170884,RS27A_HUMAN,34.67,3,46,28,30
RPS27L,NP_057004,RS27L_HUMAN,1,2,0,1,1
RPS29,NP_001023;NP_001025172,RS29_HUMAN,1,1,0,1,0
RPS3,NP_000996;NP_001243731,RS3_HUMAN,18,3,8,24,22
RPS3A,NP_000997;NP_001254628,RS3A_HUMAN,13.33,3,10,21,9
RPS4X,NP_000998;XP_005262343,RS4X_HUMAN,7.33,3,3,10,9
RPS4Y1,NP_000999;XP_005262625,RS4Y1_HUMAN,3,3,2,2,5
RPS4Y2,NP_001034656,RS4Y2_HUMAN,3.5,2,0,4,3
RPS5,NP_001000;XP_005259191,RS5_HUMAN,1,1,0,1,0
RPS6,NP_001001;XP_005251599,RS6_HUMAN,10.33,3,16,10,5
RPS7,NP_001002;XP_005263909,RS7_HUMAN,2.33,3,2,4,1
RPS8,NP_001003;XP_005271156,RS8_HUMAN,26.33,3,51,11,17
RPS9,NP_001004;XP_005259192,RS9_HUMAN,7,3,7,7,7
RRP1,NP_003674;XP_005261259,RRP1_HUMAN,5,2,0,3,7
RRP12,NP_001138586;NP_001271266,RRP12_HUMAN,2,1,2,0,0
RRP15,NP_057136,RRP15_HUMAN,1,1,0,1,0
RRS1,NP_055984,RRS1_HUMAN,9,3,18,7,2
RSF1,NP_057662;XP_005274108,RSF1_HUMAN,19.33,3,1,27,30
RSL1D1,NP_056474;XP_005255308,RL1D1_HUMAN,6.67,3,4,7,9
RSL24D1,NP_057388,RLP24_HUMAN,1.5,2,2,1,0
RUVBL1,NP_003698;XP_005247898,RUVB1_HUMAN,1.33,3,1,2,1
RUVBL2,NP_006657;XP_005258483,RUVB2_HUMAN,1,1,0,0,1
S100A14,NP_065723;XP_005245419,S10AE_HUMAN,1,1,0,1,0
S100A7,NP_002954;XP_005245488,S10A7_HUMAN,6,2,0,11,1
S100A7A,NP_789793,S1A7A_HUMAN,5,1,0,5,0
S100A8,NP_002955;XP_005245489,S10A8_HUMAN,3,2,0,4,2
S100A9,NP_002956,S10A9_HUMAN,2,2,1,3,0
SAP18,NP_005861,SAP18_HUMAN,4,1,4,0,0
SAR1A,NP_001136120;NP_064535,SAR1A_HUMAN,1,1,0,1,0
SAR1B,NP_001028675;NP_057187,SAR1B_HUMAN,1,1,0,1,0
SCN11A,NP_054858;XP_005264899,SCNBA_HUMAN,1,1,0,0,1
SCYL2,NP_060458;XP_005269074,SCYL2_HUMAN,1,1,1,0,0
SDC1,NP_001006947;NP_002988,SDC1_HUMAN,1,1,0,0,1
SDC2,NP_002989;XP_005251076,SDC2_HUMAN,2.67,3,2,2,4
SDC4,NP_002990;XP_005260551,SDC4_HUMAN,2.33,3,2,2,3
SDF2L1,NP_071327,SDF2L_HUMAN,2,1,0,0,2
SDF4,NP_057260;NP_057631,CAB45_HUMAN,1,1,1,0,0
SEC11A,NP_001258847;NP_001258848,SC11A_HUMAN,2,1,0,2,0
SEC61A1,NP_037468;XP_005247461,S61A1_HUMAN,1.5,2,1,2,0
SEC61A2,NP_001136099;NP_001136100,S61A2_HUMAN,1,1,1,0,0
SEL1L,NP_001231913;NP_005056,SE1L1_HUMAN,1,1,0,1,0
SEMG1,NP_002998;XP_005260569,SEMG1_HUMAN,1,1,0,1,0
SEMG2,NP_002999,SEMG2_HUMAN,1,1,0,1,0
SERPINA1,NP_000286;NP_001002235,A1AT_HUMAN,1,1,1,0,0
SERPINB3,NP_008850;XP_005266793,SPB3_HUMAN,2,1,0,2,0
SERPINB4,NP_002965,SPB4_HUMAN,1,1,0,1,0
SERPINH1,NP_001193943;NP_001226,SERPH_HUMAN,3.67,3,6,3,2
SF3A1,NP_001005409;NP_005868,SF3A1_HUMAN,24,3,41,10,21
SF3A2,NP_009096,SF3A2_HUMAN,4,3,6,2,4
SF3A3,NP_006793;XP_005270447,SF3A3_HUMAN,9.67,3,15,4,10
SF3B1,NP_001005526;NP_036565,SF3B1_HUMAN,1,1,1,0,0
SF3B3,NP_036558;XP_005255930,SF3B3_HUMAN,2,1,2,0,0
SFN,NP_006133,1433S_HUMAN,1.5,2,0,1,2
SFPQ,NP_005057;XP_005271168,SFPQ_HUMAN,3,1,3,0,0
SFXN1,NP_073591;XP_005266069,SFXN1_HUMAN,2.5,2,2,3,0
SFXN3,NP_112233,SFXN3_HUMAN,2,2,1,3,0
SH3BGR,NP_001001713;NP_031367,SH3BG_HUMAN,1,1,0,0,1
SHCBP1,NP_079021,SHCBP_HUMAN,1.33,3,1,1,2
SHMT2,NP_001159828;NP_001159829,GLYM_HUMAN,1,1,1,0,0
SIKE1,NP_001095866;NP_079349,SIKE1_HUMAN,1,1,0,0,1
SLC16A1,NP_001159968;NP_003042,MOT1_HUMAN,1,1,1,0,0
SLC25A1,NP_001243463;NP_005975,TXTP_HUMAN,1.33,3,2,1,1
SLC25A11,NP_001158889;NP_001158890,M2OM_HUMAN,1,1,0,0,1
SLC25A12,NP_003696;XP_005246980,CMC1_HUMAN,1.33,3,1,1,2
SLC25A13,NP_001153682;NP_055066,CMC2_HUMAN,2.67,3,3,2,3
SLC25A18,NP_113669;XP_005261345,GHC2_HUMAN,1,1,1,0,0
SLC25A22,NP_001177989;NP_001177990,GHC1_HUMAN,1,1,1,0,0
SLC25A3,NP_002626;NP_005879,MPCP_HUMAN,3.33,3,1,6,3
SLC25A31,NP_112581,ADT4_HUMAN,1.5,2,2,1,0
SLC25A4,NP_001142,ADT1_HUMAN,5,3,5,6,4
SLC25A5,NP_001143,ADT2_HUMAN,10.33,3,8,13,10
SLC25A6,NP_001627,ADT3_HUMAN,8.33,3,10,9,6
SLC39A7,NP_001070984;NP_008910,S39A7_HUMAN,1,1,0,1,0
SLC3A2,NP_001012680;NP_001012682,4F2_HUMAN,3.67,3,4,5,2
SLC5A4,NP_055042,SC5A4_HUMAN,1,1,0,0,1
SLC7A5,NP_003477,LAT1_HUMAN,1,1,0,1,0
SMARCA1,NP_001269803;NP_001269804,SMCA1_HUMAN,22.33,3,8,25,34
SMARCA5,NP_003592,SMCA5_HUMAN,55.33,3,35,63,68
SMC2,NP_001036015;NP_001036016,SMC2_HUMAN,30.67,3,27,33,32
SMC4,NP_001002800;NP_005487,SMC4_HUMAN,17,3,19,17,15
SMPD2,NP_003071;XP_005267166,NSMA_HUMAN,4,1,0,4,0
SMPD4,NP_001164554;NP_060221,NSMA3_HUMAN,1,1,0,1,0
SNRNP200,NP_054733,U520_HUMAN,3.5,2,0,3,4
SNRPB,NP_003082;NP_937859,RSMB_HUMAN,1,1,0,1,0
SNRPN,NP_073716;NP_073717,RSMN_HUMAN,1,1,0,1,0
SPRR1A,NP_001186757;NP_005978,SPR1A_HUMAN,1,1,0,1,0
SPRR1B,NP_003116,SPR1B_HUMAN,1,1,0,1,0
SPTAN1,NP_001123910;NP_001182461,SPTN1_HUMAN,1,1,0,1,0
SPTLC1,NP_001268232;NP_006406,SPTC1_HUMAN,2,2,3,1,0
SQSTM1,NP_001135770;NP_001135771,SQSTM_HUMAN,1,1,0,0,1
SRM,NP_003123,SPEE_HUMAN,1,1,0,1,0
SRP19,NP_001191122;NP_001191125,SRP19_HUMAN,1,2,1,1,0
SRP68,NP_001247431;NP_001247432,SRP68_HUMAN,2.67,3,4,1,3
SRP72,NP_001254651;NP_008878,SRP72_HUMAN,7.33,3,2,11,9
SRSF1,NP_001071634;NP_008855,SRSF1_HUMAN,1,1,0,1,0
SRSF10,NP_001177934;NP_001177935,SRS10_HUMAN,2,1,0,0,2
SRSF12,NP_542781,SRS12_HUMAN,1,1,0,0,1
SRSF3,NP_003008,SRSF3_HUMAN,1,2,1,1,0
SRSF7,NP_001026854;NP_001182375,SRSF7_HUMAN,1,2,1,1,0
SRSF9,NP_003760,SRSF9_HUMAN,3.5,2,0,2,5
SSBP1,NP_001243439;NP_001243440,SSBP_HUMAN,2.67,3,1,4,3
SSR1,NP_003135;XP_005249386,SSRA_HUMAN,3,1,0,3,0
SSR3,NP_009038;XP_005247786,SSRG_HUMAN,1,2,1,0,1
SSR4,NP_001191455;NP_001191456,SSRD_HUMAN,2.5,2,0,3,2
SSRP1,NP_003137;XP_005274251,SSRP1_HUMAN,10.33,3,1,14,16
ST13,NP_001265518;NP_003923,F10A1_HUMAN,1,1,1,0,0
STAT1,NP_009330;NP_644671,STAT1_HUMAN,1.33,3,2,1,1
STAU1,NP_001032405;NP_004593,STAU1_HUMAN,4,2,0,7,1
STAU2,NP_001157852;NP_001157853,STAU2_HUMAN,1,1,0,1,0
STIP1,NP_001269581;NP_001269582,STIP1_HUMAN,1,1,1,0,0
STMN2,NP_001186143;NP_008960,STMN2_HUMAN,1,1,1,0,0
STRAP,NP_009109;XP_005253350,STRAP_HUMAN,1,2,1,1,0
STT3A,NP_001265432;NP_001265433,STT3A_HUMAN,2,2,2,2,0
STT3B,NP_849193;XP_005264998,STT3B_HUMAN,1,1,0,0,1
SUPT16H,NP_009123,SP16H_HUMAN,17,2,0,14,20
SURF6,NP_001265871;NP_006744,SURF6_HUMAN,24,1,24,0,0
SUV420H2,NP_116090;XP_005259395,SV422_HUMAN,1,1,0,1,0
SYNCRIP,NP_001153145;NP_001153146,HNRPQ_HUMAN,1.5,2,2,0,1
TADA2B,NP_689506,TAD2B_HUMAN,1,2,0,1,1
TAF1A,NP_001188465;NP_005672,TAF1A_HUMAN,6,2,0,8,4
TAF1B,NP_005671,TAF1B_HUMAN,5,2,0,5,5
TAF1C,NP_001230085;NP_001230086,TAF1C_HUMAN,7.67,3,1,13,9
TAF1D,NP_077021;XP_005274308,TAF1D_HUMAN,2,2,0,3,1
TAF5,NP_008882;XP_005270127,TAF5_HUMAN,1,1,1,0,0
TAGLN2,NP_001264152;NP_001264153,TAGL2_HUMAN,9,1,9,0,0
TAGLN3,NP_001008273;NP_001008274,TAGL3_HUMAN,2,1,2,0,0
TARS,NP_001245366;NP_001245367,SYTC_HUMAN,2,1,2,0,0
TBCD,NP_005984;XP_005256452,TBCD_HUMAN,1,3,1,1,1
TBP,NP_001165556;NP_003185,TBP_HUMAN,1,2,0,1,1
TBPL2,NP_950248,TBPL2_HUMAN,1,2,0,1,1
TBR1,NP_006584;XP_005246302,TBR1_HUMAN,1,1,0,0,1
TCP1,NP_001008897;NP_110379,TCPA_HUMAN,2,2,3,0,1
TCP11L1,NP_001139013;NP_060863,T11L1_HUMAN,1,1,0,0,1
TECR,NP_612510,TECR_HUMAN,2,1,0,0,2
TEF,NP_001138870;NP_003207,TEF_HUMAN,1,1,0,0,1
TELO2,NP_057195,TELO2_HUMAN,1,2,1,1,0
TESK2,NP_009101;XP_005270411,TESK2_HUMAN,1,1,0,1,0
THBS1,NP_003237,TSP1_HUMAN,3,3,7,1,1
TIMM21,NP_054896;XP_005266746,TIM21_HUMAN,1,1,0,1,0
TIMM23,NP_006318;XP_005270361,TIM23_HUMAN,1,1,1,0,0
TIMM23B,XP_003119000;XP_005270361,TI23B_HUMAN,1,1,1,0,0
TIMM50,NP_001001563;XP_005259466,TIM50_HUMAN,2.33,3,2,3,2
TMED1,NP_006849,TMED1_HUMAN,1,1,0,0,1
TMED10,NP_006818,TMEDA_HUMAN,2,2,2,2,0
TMED2,NP_006806;XP_005253601,TMED2_HUMAN,1,1,0,1,0
TMED9,NP_059980,TMED9_HUMAN,1,1,0,0,1
TMEM109,NP_076997,TM109_HUMAN,1,1,0,1,0
TMEM33,NP_060596;XP_005248173,TMM33_HUMAN,1.5,2,0,1,2
TMEM97,NP_055388;XP_005258022,TMM97_HUMAN,1,1,0,1,0
TNPO1,NP_002261;NP_694858,TNPO1_HUMAN,3,2,0,3,3
TNPO2,NP_001129667;NP_001129668,TNPO2_HUMAN,1,1,0,1,0
TOP1,NP_003277;XP_005260598,TOP1_HUMAN,1,1,1,0,0
TOP1MT,NP_001245375;NP_001245376,TOP1M_HUMAN,1,1,1,0,0
TOP2A,NP_001058;XP_005257689,TOP2A_HUMAN,94.33,3,68,96,119
TOP2B,NP_001059;XP_005265484,TOP2B_HUMAN,19,3,12,21,24
TP53INP2,NP_067025;XP_005260533,T53I2_HUMAN,1,1,0,0,1
TPI1,NP_000356;NP_001152759,TPIS_HUMAN,2,3,3,2,1
TRA2A,NP_001269686;NP_001269687,TRA2A_HUMAN,2,1,0,2,0
TRA2B,NP_001230808;NP_004584,TRA2B_HUMAN,1,1,0,0,1
TRIM23,NP_001647;NP_150230,TRI23_HUMAN,1,1,0,1,0
TRIM24,NP_003843;NP_056989,TIF1A_HUMAN,1,1,0,0,1
